Fecha,NombreEstacion,CodigoEstacion,Latitud,Longitud,Municipio,Ubicacion,FechaMensual
2015-11-26,BARBACOAS,52065020,"1,6711084","-78,139393",Barbacoas1,zona urbana,2015-11-01
2014-08-01,BARBACOAS,52065020,"1,6773784","-78,1298776",Barbacoas2,vda la cierra mina,2014-08-01
2014-02-11,BARBACOAS,52065020,"1,5065","-78,0797222",Barbacoas3,via junin - barbacoas,2014-02-01
2007-10-13,BARBACOAS,52065020,"1,6711084","-78,1431696",Barbacoas7,NoRegister,2007-10-01
2015-04-10,BERRUECOS,52040160,"1,4665276","-77,0429749",Alban1,Sector El Socorro,2015-04-01
2011-02-04,BERRUECOS,52040160,"1,4728684","-77,067959",Alban10,NoRegister,2011-02-01
2011-02-03,BERRUECOS,52040160,"1,4728684","-77,067959",Alban11,NoRegister,2011-02-01
2010-12-28,BERRUECOS,52040160,"1,45037","-77,07102",Alban12,Centro Educativo San Bosco,2010-12-01
2010-12-28,BERRUECOS,52040160,"1,4597936","-77,0596195",Alban12,Centro educativo el Socorro,2010-12-01
2010-11-25,BERRUECOS,52040160,"1,44457","-77,10055",Alban13,El Cebadero,2010-11-01
2010-11-25,BERRUECOS,52040160,"1,47185","-77,04332",Alban13,Guaranga,2010-11-01
2010-11-25,BERRUECOS,52040160,"1,5333699","-77,06669",Alban13,Chapiurco,2010-11-01
2009-03-29,BERRUECOS,52040160,"1,4724173","-77,0822306",Alban14,Via municipio Alban,2009-03-01
2009-01-21,BERRUECOS,52040160,"1,4361576","-77,0784252",Alban15,Alban - Puente Janacatu,2009-01-01
2009-01-21,BERRUECOS,52040160,"1,6156299","-77,1371325",Alban15,Via el empate - la Union,2009-01-01
2006-12-20,BERRUECOS,52040160,"1,4728684","-77,067959",Alban16,Reporte defensa civil,2006-12-01
2006-11-16,BERRUECOS,52040160,"1,4728684","-77,067959",Alban17,Afectada verada san jose,2006-11-01
2013-12-20,BERRUECOS,52040160,"1,4997905","-77,0775023",Alban2,VIA DEPARTAMENTAL EMPATE - ALBAN EN EL SECTOR EL SALADO,2013-12-01
2013-03-25,BERRUECOS,52040160,"1,4824707","-77,0768293",Alban3,SAN JOSE DE ALBAN,2013-03-01
2013-03-23,BERRUECOS,52040160,"1,49086","-77,06124",Alban4,Vereda Campobello,2013-03-01
2012-04-18,BERRUECOS,52040160,"1,46627778","-77,0865278",Alban5,Cebadero -QuiÃ±a,2012-04-01
2012-04-18,BERRUECOS,52040160,"1,47022222","-77,0441111",Alban5,Via Guaranga - San Jose,2012-04-01
2012-04-18,BERRUECOS,52040160,"1,5075","-77,0514722",Alban5,Via QuiÃ±a - San Jose,2012-04-01
2011-12-07,BERRUECOS,52040160,"1,4719407","-77,0800857",Alban6,Cancha Deportiva Barrio Los Robles,2011-12-01
2011-06-07,BERRUECOS,52040160,"1,4728684","-77,067959",Alban7,NoRegister,2011-06-01
2011-04-18,BERRUECOS,52040160,"1,4728684","-77,067959",Alban8,NoRegister,2011-04-01
2011-02-28,BERRUECOS,52040160,"1,4728684","-77,067959",Alban9,NoRegister,2011-02-01
2014-01-11,BERRUECOS,52040160,"1,45451","-77,16213",Arboleda1,La CaÃ±ada,2014-01-01
2014-01-11,BERRUECOS,52040160,"1,46688889","-77,1159444",Arboleda1,via berruecos yunguilla,2014-01-01
2014-01-11,BERRUECOS,52040160,"1,46974","-77,13061",Arboleda1,Vereda San Pedro Bajo,2014-01-01
2014-01-11,BERRUECOS,52040160,"1,4769633","-77,0967316",Arboleda1,via el empate-la unionÂ,2014-01-01
2014-01-11,BERRUECOS,52040160,"1,47734","-77,10553",Arboleda1,Vereda Las Palmas,2014-01-01
2014-01-11,BERRUECOS,52040160,"1,4826","-77,12525",Arboleda1,Vereda San Pedro Alto,2014-01-01
2014-01-11,BERRUECOS,52040160,"1,50006","-77,09999",Arboleda1,vda Pedregal,2014-01-01
2014-01-11,BERRUECOS,52040160,"1,5023594","-77,1366861",Arboleda1,B San Jose,2014-01-01
2014-01-11,BERRUECOS,52040160,"1,50597222","-77,135",Arboleda1,DESBORDE DE QUEBRADA BARRIO FATIMA SAN MIGUEL,2014-01-01
2012-05-04,BERRUECOS,52040160,"1,49444444","-77,0852222",Arboleda2,LA COCHA-LA COMUNIDAD-CHAPIURCO,2012-05-01
2012-01-21,BERRUECOS,52040160,"1,56963889","-77,0347778",Belen1,CAMPO DE MARIA ALTO - Peña NEGRA,2012-01-01
2012-01-21,BERRUECOS,52040160,"1,58233333","-77,0234444",Belen1,belen - plazuelas,2012-01-01
2012-01-21,BERRUECOS,52040160,"1,58966667","-77,0358611",Belen1,campo de maria - santa rosa,2012-01-01
2012-01-21,BERRUECOS,52040160,"1,60377778","-77,0128611",Belen1,belen - sebastianillo,2012-01-01
2011-12-17,BERRUECOS,52040160,"1,59523","-77,01343",Belen2,Colegio Nuestra SeÃ±ora de BelÃ©n,2011-12-01
2011-05-31,BERRUECOS,52040160,"1,5955214","-77,0165265",Belen3,NoRegister,2011-05-01
2011-05-16,BERRUECOS,52040160,"1,578319","-77,0191267",Belen4,Via belen plazuelas,2011-05-01
2011-04-20,BERRUECOS,52040160,"1,5958002","-77,016505",Belen5,NoRegister,2011-04-01
2011-03-11,BERRUECOS,52040160,"1,5953283","-77,016269",Belen6,NoRegister,2011-03-01
2011-01-25,BERRUECOS,52040160,"1,5956661","-77,0162153",Belen7,NoRegister,2011-01-01
2010-11-04,BERRUECOS,52040160,"1,55733333","-77,028",Belen8,NoRegister,2010-11-01
2006-03-15,BERRUECOS,52040160,"1,5964411","-77,0170329",Belen9,NoRegister,2006-03-01
2014-01-12,BERRUECOS,52040160,"1,3753483","-77,1583302",Buesaco1,Medina espejo,2014-01-01
2014-01-12,BERRUECOS,52040160,"1,3827936","-77,1579474",Buesaco1,barrio la colina,2014-01-01
2014-01-12,BERRUECOS,52040160,"1,4005111","-77,1242423",Buesaco1,Via buesaco - santamaria,2014-01-01
2014-01-12,BERRUECOS,52040160,"1,4017559","-77,1561355",Buesaco1,Finca Franco Villa LA LOMA,2014-01-01
2010-12-07,BERRUECOS,52040160,"1,3835229","-77,1563595",Buesaco10,casco urbano,2010-12-01
2010-12-07,BERRUECOS,52040160,"1,39114","-77,197409",Buesaco10,san antonio - ortega,2010-12-01
2009-01-31,BERRUECOS,52040160,"1,3866548","-77,1553296",Buesaco12,NoRegister,2009-01-01
2009-01-12,BERRUECOS,52040160,"1,3605859","-77,1687737",Buesaco13,pajajoy,2009-01-01
2008-12-24,BERRUECOS,52040160,"1,388328","-77,1547288",Buesaco14,NoRegister,2008-12-01
2008-03-26,BERRUECOS,52040160,"1,3822787","-77,1567887",Buesaco15,NoRegister,2008-03-01
2006-11-15,BERRUECOS,52040160,"1,3846942","-77,1562562",Buesaco16,villa maria,2006-11-01
2012-04-18,BERRUECOS,52040160,"1,3844668","-77,1547717",Buesaco2,varios sectores,2012-04-01
2012-02-27,BERRUECOS,52040160,"1,3851532","-77,1563166",Buesaco4,NoRegister,2012-02-01
2012-01-26,BERRUECOS,52040160,"1,35003","-77,08325",Buesaco5,buesaco - granadillo,2012-01-01
2012-01-26,BERRUECOS,52040160,"1,360123","-77,0428377",Buesaco5,buesaco santa fe,2012-01-01
2012-01-26,BERRUECOS,52040160,"1,396162","-77,145016",Buesaco5,via buesaco - santamaria,2012-01-01
2011-06-21,BERRUECOS,52040160,"1,3864832","-77,1577758",Buesaco6,NoRegister,2011-06-01
2011-05-27,BERRUECOS,52040160,"1,3841236","-77,1532696",Buesaco7,NoRegister,2011-05-01
2011-05-16,BERRUECOS,52040160,"1,3863974","-77,1533126",Buesaco8,NoRegister,2011-05-01
2011-02-26,BERRUECOS,52040160,"1,3844239","-77,1585053",Buesaco9,NoRegister,2011-02-01
2012-03-27,BERRUECOS,52040160,"1,3876855","-77,2560174",Chachagui2,Pasisara,2012-03-01
2012-01-23,BERRUECOS,52040160,"1,3761267","-77,2767933",Chachagui4,Mata redonda,2012-01-01
2010-11-30,BERRUECOS,52040160,"1,3885328","-77,2563938",Chachagui8,pasisara,2010-11-01
2012-04-20,BERRUECOS,52040160,"1,635503","-77,029734",Colon1,Via genova - santa rosa,2012-04-01
2012-04-20,BERRUECOS,52040160,"1,641845","-77,027544",Colon1,via genova - la victoria,2012-04-01
2012-04-20,BERRUECOS,52040160,"1,6501999","-77,03907",Colon1,Vereda La VictoriaÂ,2012-04-01
2012-04-20,BERRUECOS,52040160,"1,650604","-77,0227425",Colon1,via genova - la cuchilla,2012-04-01
2012-04-20,BERRUECOS,52040160,"1,652481","-77,024263",Colon1,genova - el bohio,2012-04-01
2012-04-20,BERRUECOS,52040160,"1,6641417","-77,062345",Colon1,via la lupa - villanueva,2012-04-01
2012-01-21,BERRUECOS,52040160,"1,6062626","-77,0802478",Colon2,via san carlos - los molinos,2012-01-01
2012-01-21,BERRUECOS,52040160,"1,615063","-77,081583",Colon2,SANTA ROSA - SAN CARLOS,2012-01-01
2012-01-21,BERRUECOS,52040160,"1,6329331","-77,04924",Colon2,villanueva - el helechal,2012-01-01
2012-01-21,BERRUECOS,52040160,"1,6424664","-77,0169995",Colon2,Bordo Alto,2012-01-01
2012-01-21,BERRUECOS,52040160,"1,6424745","-77,0242133",Colon2,genova - la victoria,2012-01-01
2012-01-21,BERRUECOS,52040160,"1,6466206","-77,0199142",Colon2,Bordo BajoÂ,2012-01-01
2012-01-21,BERRUECOS,52040160,"1,674019","-77,049567",Colon2,LOMA DEL GANADO - BELLAVISTA,2012-01-01
2011-05-31,BERRUECOS,52040160,"1,6420441","-77,045791",Colon3,NoRegister,2011-05-01
2011-02-10,BERRUECOS,52040160,"1,62267","-77,057078",Colon4,genova - santa rosa,2011-02-01
2011-02-10,BERRUECOS,52040160,"1,6867687","-77,0324874",Colon4,genova - la cuchilla,2011-02-01
2008-07-15,BERRUECOS,52040160,"1,6423729","-77,019007",Colon5,NoRegister,2008-07-01
2015-07-17,BERRUECOS,52040160,"1,394901","-77,026015",ElTablondeGomez1,Aponte,2015-07-01
2011-04-25,BERRUECOS,52040160,"1,4266537","-77,0982754",ElTablondeGomez10,NoRegister,2011-04-01
2011-03-07,BERRUECOS,52040160,"1,427383","-77,0963228",ElTablondeGomez11,NoRegister,2011-03-01
2010-12-17,BERRUECOS,52040160,"1,360052","-77,025572",ElTablondeGomez12,via aponte - pompeya,2010-12-01
2010-12-17,BERRUECOS,52040160,"1,4773909","-77,0188833",ElTablondeGomez12,las mesas,2010-12-01
2010-11-24,BERRUECOS,52040160,"1,37726","-77,02906",ElTablondeGomez13,La Esperanza,2010-11-01
2010-11-24,BERRUECOS,52040160,"1,4514","-77,03461",ElTablondeGomez13,Vereda El Porvenir,2010-11-01
2010-11-24,BERRUECOS,52040160,"1,45771","-77,00367",ElTablondeGomez13,Vereda Gavilla Alta,2010-11-01
2010-11-24,BERRUECOS,52040160,"1,4654723","-77,0260195",ElTablondeGomez13,San Rafael,2010-11-01
2009-03-29,BERRUECOS,52040160,"1,4275439","-77,0969772",ElTablondeGomez14,DGR-2009-00253,2009-03-01
2008-12-15,BERRUECOS,52040160,"1,4275546","-77,0972991",ElTablondeGomez15,NoRegister,2008-12-01
2008-03-28,BERRUECOS,52040160,"1,427619","-77,097224",ElTablondeGomez16,NoRegister,2008-03-01
2007-11-03,BERRUECOS,52040160,"1,4490355","-77,042298",ElTablondeGomez17,LA VICTORIA - LAS MESAS,2007-11-01
2006-01-19,BERRUECOS,52040160,"1,401061","-77,046466",ElTablondeGomez18,tablon - aponte,2006-01-01
2013-05-28,BERRUECOS,52040160,"1,3316317","-77,0093207",ElTablondeGomez2,Pompeya,2013-05-01
2013-05-28,BERRUECOS,52040160,"1,4698091","-77,0399646",ElTablondeGomez2,vda Dona Juana,2013-05-01
2012-02-22,BERRUECOS,52040160,"1,427208","-77,0914152",ElTablondeGomez3,Vereda san isidro,2012-02-01
2012-02-22,BERRUECOS,52040160,"1,4312091","-76,9985136",ElTablondeGomez3,gavilla,2012-02-01
2012-02-01,BERRUECOS,52040160,"1,4414325","-77,0439136",ElTablondeGomez4,Vereda Puerto Nuevo,2012-02-01
2012-01-20,BERRUECOS,52040160,"1,399655","-77,023042",ElTablondeGomez5,fatima - aponte,2012-01-01
2012-01-20,BERRUECOS,52040160,"1,4081239","-77,0556388",ElTablondeGomez5,pitalito bajo,2012-01-01
2012-01-20,BERRUECOS,52040160,"1,4157434","-77,0586124",ElTablondeGomez5,vda pitalito alto,2012-01-01
2012-01-20,BERRUECOS,52040160,"1,445156","-77,048753",ElTablondeGomez5,la victoria - las mesas,2012-01-01
2012-01-13,BERRUECOS,52040160,"1,4278442","-77,0974922",ElTablondeGomez6,NoRegister,2012-01-01
2011-06-02,BERRUECOS,52040160,"1,427308","-77,0979536",ElTablondeGomez8,NoRegister,2011-06-01
2011-05-06,BERRUECOS,52040160,"1,4265035","-77,0969343",ElTablondeGomez9,NoRegister,2011-05-01
2015-04-17,BERRUECOS,52040160,"1,6041381","-77,132477",LaUnion1,NoRegister,2015-04-01
2011-05-24,BERRUECOS,52040160,"1,5985613","-77,1288292",LaUnion10,NoRegister,2011-05-01
2010-11-25,BERRUECOS,52040160,"1,6348145","-77,1364606",LaUnion11,CERRITOS - OJO DE AGUA,2010-11-01
2010-11-25,BERRUECOS,52040160,"1,622953","-77,132184",LaUnion11,LA UNION - CERRITOS,2010-11-01
2010-11-25,BERRUECOS,52040160,"1,608511","-77,113948",LaUnion11,LA UNION - SAUCE,2010-11-01
2010-11-25,BERRUECOS,52040160,"1,610319","-77,097449",LaUnion11,SAUCE - RINCON CUSILLOS,2010-11-01
2010-11-25,BERRUECOS,52040160,"1,604674","-77,095206",LaUnion11,VIAS LA UNION - CUSILLOS,2010-11-01
2009-01-24,BERRUECOS,52040160,"1,624881","-77,146216",LaUnion12,EL EMPATE - LA UNION,2009-01-01
2008-12-11,BERRUECOS,52040160,"1,6022506","-77,1296017",LaUnion14,NoRegister,2008-12-01
2008-07-02,BERRUECOS,52040160,"1,5984755","-77,1327345",LaUnion15,NoRegister,2008-07-01
2006-11-16,BERRUECOS,52040160,"1,6062945","-77,129485",LaUnion16,barrio valencia,2006-11-01
2006-04-05,BERRUECOS,52040160,"1,6101652","-77,129004",LaUnion17,Cementerio Municipal,2006-04-01
2006-03-15,BERRUECOS,52040160,"1,56342","-77,125556",LaUnion18,UNION - BUESACO,2006-03-01
2006-03-15,BERRUECOS,52040160,"1,5914819","-77,1286231",LaUnion18,barrio los pinos,2006-03-01
2006-03-15,BERRUECOS,52040160,"1,600707","-77,059029",LaUnion18,LA UNION BELEN,2006-03-01
2006-03-15,BERRUECOS,52040160,"1,6111894","-77,1286499",LaUnion18,Cementerio Municipal,2006-03-01
2006-03-15,BERRUECOS,52040160,"1,622263","-77,112066",LaUnion18,LA UNION GENOVA,2006-03-01
2006-03-15,BERRUECOS,52040160,"1,6318881","-77,1245079",LaUnion18,La Caldera,2006-03-01
2006-03-15,BERRUECOS,52040160,"1,656363","-77,1269418",LaUnion18,Vereda El Peligro,2006-03-01
2014-05-07,BERRUECOS,52040160,"1,5956354","-77,1681995",LaUnion2,NoRegister,2014-05-01
2013-11-09,BERRUECOS,52040160,"1,5834928","-77,1177102",LaUnion3,PEñA BLANCA,2013-11-01
2013-11-09,BERRUECOS,52040160,"1,5904791","-77,1289396",LaUnion3,Los Pinos,2013-11-01
2013-11-09,BERRUECOS,52040160,"1,60872","-77,08948",LaUnion3,Vereda Rincon Cusillo,2013-11-01
2013-11-09,BERRUECOS,52040160,"1,61954","-77,14424",LaUnion3,Vereda La Betulia,2013-11-01
2013-11-09,BERRUECOS,52040160,"1,6483983","-77,1046035",LaUnion3,Santander,2013-11-01
2013-06-01,BERRUECOS,52040160,"1,6331","-77,1266",LaUnion4,La Caldera,2013-06-01
2013-06-01,BERRUECOS,52040160,"1,6482321","-77,1051507",LaUnion4,LaUnion5 01/06/2012,2013-06-01
2012-06-01,BERRUECOS,52040160,"1,576506","-77,139537",LaUnion5,LA MERCED,2012-06-01
2012-06-01,BERRUECOS,52040160,"1,613042","-77,117198",LaUnion5,EL GUABO-CANTADEROÂ,2012-06-01
2012-03-22,BERRUECOS,52040160,"1,5957469","-77,1706439",LaUnion6,Centro Educativo Villa María,2012-03-01
2012-03-22,BERRUECOS,52040160,"1,60697","-77,15904",LaUnion6,Vereda La Castilla,2012-03-01
2012-03-22,BERRUECOS,52040160,"1,6148793","-77,1201215",LaUnion6,Cancha de Juan Solarte Obando,2012-03-01
2012-03-22,BERRUECOS,52040160,"1,631514","-77,137787",LaUnion6,VIAS UNION-MERCADERES,2012-03-01
2012-03-22,BERRUECOS,52040160,"1,6318204","-77,1583259",LaUnion6,La playa,2012-03-01
2012-03-22,BERRUECOS,52040160,"1,6434219","-77,1570223",LaUnion6,Vereda llano grande,2012-03-01
2012-02-28,BERRUECOS,52040160,"1,592683","-77,174888",LaUnion7,LA UNION SAN LORENZO,2012-02-01
2012-02-28,BERRUECOS,52040160,"1,603218","-77,1652552",LaUnion7,LA CASTLLA - LA CAÑADA,2012-02-01
2012-02-28,BERRUECOS,52040160,"1,609019","-77,158274",LaUnion7,LA CAÑADA - ALPUJARRA,2012-02-01
2012-02-28,BERRUECOS,52040160,"1,6130341","-77,1070083",LaUnion7,LA UNION BELEN,2012-02-01
2012-02-28,BERRUECOS,52040160,"1,62293","-77,13643",LaUnion7,Vereda El Cerrito,2012-02-01
2012-02-28,BERRUECOS,52040160,"1,6373125","-77,1338125",LaUnion7,Ojo de aguaÂ,2012-02-01
2012-02-28,BERRUECOS,52040160,"1,65469","-77,1329499",LaUnion7,Vereda El Peligro,2012-02-01
2011-12-26,BERRUECOS,52040160,"1,6018216","-77,1327345",LaUnion8,NoRegister,2011-12-01
2011-11-18,BERRUECOS,52040160,"1,544735","-76,982106",LaUnion9,PEÑAS BLANCAS,2011-11-01
2011-11-18,BERRUECOS,52040160,"1,578267","-77,081928",LaUnion9,CUSILLOS,2011-11-01
2011-11-18,BERRUECOS,52040160,"1,595034","-77,158191",LaUnion9,LA UNION CHARGUARUCO,2011-11-01
2011-11-18,BERRUECOS,52040160,"1,596636","-77,094473",LaUnion9,LA UNION CUSILLOS,2011-11-01
2011-11-18,BERRUECOS,52040160,"1,612629","-77,111174",LaUnion9,LA UNION,2011-11-01
2011-11-18,BERRUECOS,52040160,"1,628184","-77,1082443",LaUnion9,la union contadero,2011-11-01
2011-11-18,BERRUECOS,52040160,"1,64061","-77,104342",LaUnion9,SANTA ROSA,2011-11-01
2012-12-07,BERRUECOS,52040160,"1,5069394","-77,0688272",SanBernardo1,NoRegister,2012-12-01
2012-04-06,BERRUECOS,52040160,"1,5411999","-77,03582",SanBernardo2,NoRegister,2012-04-01
2011-11-11,BERRUECOS,52040160,"1,5155593","-77,0454937",SanBernardo3,NoRegister,2011-11-01
2010-12-15,BERRUECOS,52040160,"1,5376717","-77,0327231",SanBernardo4,Via la vega,2010-12-01
2010-12-15,BERRUECOS,52040160,"1,5665768","-77,0224544",SanBernardo4,Petacas-Plazuelas,2010-12-01
2014-05-07,BERRUECOS,52040160,"1,509141","-77,2040544",SanLorenzo1,NoRegister,2014-05-01
2011-03-20,BERRUECOS,52040160,"1,54504","-77,22702",SanLorenzo10,NoRegister,2011-03-01
2010-12-07,BERRUECOS,52040160,"1,5029403","-77,2153713",SanLorenzo11,NoRegister,2010-12-01
2010-11-17,BERRUECOS,52040160,"1,475593","-77,1795181",SanLorenzo12,San lorenzo-santa marta,2010-11-01
2010-11-17,BERRUECOS,52040160,"1,5203577","-77,1673032",SanLorenzo12,Via panamericana,2010-11-01
2008-03-18,BERRUECOS,52040160,"1,5025917","-77,2153391",SanLorenzo14,NoRegister,2008-03-01
2013-12-20,BERRUECOS,52040160,"1,5101526","-77,2244665",SanLorenzo2,Via taminango,2013-12-01
2013-12-20,BERRUECOS,52040160,"1,5931569","-77,1892374",SanLorenzo2,Vereda el carmen,2013-12-01
2012-04-11,BERRUECOS,52040160,"1,5028568","-77,2161132",SanLorenzo4,Deslizamiento en el casco urbano,2012-04-01
2012-03-24,BERRUECOS,52040160,"1,5028568","-77,2161132",SanLorenzo5,NoRegister,2012-03-01
2012-01-25,BERRUECOS,52040160,"1,5148949","-77,1498882",SanLorenzo6,Puente el tauso,2012-01-01
2012-01-25,BERRUECOS,52040160,"1,5318105","-77,2190447",SanLorenzo6,Via la laguna,2012-01-01
2011-06-22,BERRUECOS,52040160,"1,503498","-77,2151669",SanLorenzo7,NoRegister,2011-06-01
2011-06-02,BERRUECOS,52040160,"1,503498","-77,2151669",SanLorenzo8,NoRegister,2011-06-01
